Шкаф	Обозначение провода	Откуда идет	Куда поступает
1HV26	0504	XT28-a7	XT29-a7
1HV26	0504	XT29-a7	XT30-a7
1HV26	0504	XT30-a7	XT31-a7
1HV26	0504	XT31-a7	XT9-a2
1HV26	0504	XT9-a2	XT28-a7
1HV26	0510-3	XT10-b6	XT11-b6
1HV26	0510-3	XT11-b6	XT12-b6
1HV26	0510-3	XT12-b6	XT13-b6
1HV26	0510-3	XT13-b6	XT14-b6
1HV26	0510-3	XT14-b6	XT15-b6
1HV26	0510-3	XT15-b6	XT16-b6
1HV26	0510-3	XT16-b6	XT17-b6
1HV26	0510-3	XT17-b6	XT28-b6
1HV26	0510-3	XT28-b6	XT29-b6
1HV26	0510-3	XT29-b6	XT30-b6
1HV26	0510-3	XT30-b6	XT31-b6
1HV26	0510-3	XT31-b6	XT32-b6
1HV26	0510-3	XT32-b6	XT33-b6
1HV26	0510-3	XT33-b6	XT34-b6
1HV26	0510-3	XT34-b6	XT35-b6
1HV26	0523-4	XTK22-b1	XTK25-b1
1HV26	0523-5	XT27-a5	XT27-a6
1HV26	0523-5	XT27-a5	XT27-a7
1HV26	0524-4	XTK26-b1	XTK27-b1
1HV26	1TX70P04V2	XT10-a9	XT11-a9
1HV26	1TX70P04V2	XT11-a9	XT12-a9
1HV26	1TX70P04V2	XT12-a9	XT13-a9
1HV26	1TX70T97V1	XT14-a9	XT15-a9
1HV26	1TX70T97V1	XT15-a9	XT16-a9
1HV26	1TX70T97V1	XT16-a9	XT17-a9
1HV26	1TX80P04V2	XT28-a9	XT29-a9
1HV26	1TX80P04V2	XT29-a9	XT30-a9
1HV26	1TX80P04V2	XT30-a9	XT31-a9
1HV26	1TX80T97V1	XT32-a9	XT33-a9
1HV26	1TX80T97V1	XT33-a9	XT34-a9
1HV26	1TX80T97V1	XT34-a9	XT35-a9
1HV26	1YZS01H18	XT1-b8	XT2-b8
1HV26	1YZS01H18	XT2-b8	XT3-b8
1HV26	1YZS01H18	XT3-b8	XT4-b8
1HV26	1YZS01H19	XT19-b8	XT20-b8
1HV26	1YZS01H19	XT20-b8	XT21-b8
1HV26	1YZS01H19	XT21-b8	XT22-b8
1HV26	1YZS01H22	XT5-b8	XT6-b8
1HV26	1YZS01H22	XT6-b8	XT7-b8
1HV26	1YZS01H22	XT7-b8	XT8-b8
1HV26	1YZS01H23	XT23-b8	XT24-b8
1HV26	1YZS01H23	XT24-b8	XT25-b8
1HV26	1YZS01H23	XT25-b8	XT26-b8
1HV26	521	XT14-a6	XT15-a6
1HV26	521	XT15-a6	XT16-a6
1HV26	521	XT16-a6	XT17-a6
1HV26	521	XT17-a6	XT32-a6
1HV26	521	XT32-a6	XT33-a6
1HV26	521	XT33-a6	XT34-a6
1HV26	521	XT34-a6	XT35-a6
1HV26	751	XT9-a10	XTN06-b12
1HV26	753-7	XT9-a7	XTN06-a10
1HV26	922c	XT27-a11	XT27-b11
1HV28	0520	XT25-a12	XT25-b1
1HV28	0521	XT24-a12	XT24-b1
1HV28	0522	XT33-a12	XT33-b1
1HV28	A1-UT10W01	XTK23-a1	XTK23-a2
1HV31	A17-UT10S01	XT6-b1	XT6-b2
1HV31	A17-UT10S13	XT4-b1	XT4-b2
1HV31	A17-UT30S06	XT3-b1	XT3-b2
1HV31	A19-UT10S01	XT6-b4	XT6-b5
1HV31	A19-UT10S13	XT4-b4	XT4-b5
1HV31	A19-UT30S06	XT3-b4	XT3-b5
1HV31	N1-UT10S01	XT6-a11	XT6-a2
1HV31	N1-UT10S01	XT6-a2	XT6-a5
1HV31	N1-UT10S01	XT6-a5	XT6-a8
1HV31	N1-UT10S13	XT4-a11	XT4-a2
1HV31	N1-UT10S13	XT4-a2	XT4-a5
1HV31	N1-UT10S13	XT4-a5	XT4-a8
1HV31	N1-UT10W01	XT5-a2	XT5-a5
1HV31	N1-UT30S06	XT3-a11	XT3-a2
1HV31	N1-UT30S06	XT3-a2	XT3-a5
1HV31	N1-UT30S06	XT3-a5	XT3-a8
1HV31	N1-VF10S11	XT7-a2	XT7-a5
1HV31	N1-VF40S11	XT8-a2	XT8-a5
1HV32	A17-QF11S04	XT64-b1	XT64-b2
1HV32	A17-QF11S05	XT63-b1	XT63-b2
1HV32	A17-QF11S06	XT69-b1	XT69-b2
1HV32	A17-QF11S07	XT70-b1	XT70-b2
1HV32	A17-QF11S08	XT65-b1	XT65-b2
1HV32	A17-QF11S09	XT66-b1	XT66-b2
1HV32	A17-TQ10S01	XT6-b1	XT6-b2
1HV32	A17-TQ11S02	XT9-b1	XT9-b2
1HV32	A17-TQ11S03	XT7-b1	XT7-b2
1HV32	A17-TQ11S06	XT11-b1	XT11-b2
1HV32	A17-TQ11S09	XT10-b1	XT10-b2
1HV32	A17-TQ11S10	XT8-b1	XT8-b2
1HV32	A17-TQ11S11	XT32-b1	XT32-b2
1HV32	A17-TQ11S12	XT33-b1	XT33-b2
1HV32	A17-TQ11S14	XT31-b1	XT31-b2
1HV32	A17-TQ12S02	XT67-b1	XT67-b2
1HV32	A17-TQ12S03	XT68-b1	XT68-b2
1HV32	A17-TQ12S04	XT14-b1	XT14-b2
1HV32	A17-TQ12S05	XT16-b1	XT16-b2
1HV32	A17-TQ12S06	XT12-b1	XT12-b2
1HV32	A17-TQ12S07	XT15-b1	XT15-b2
1HV32	A17-TQ12S18	XT71-b1	XT71-b2
1HV32	A17-TQ13S05	XT17-b1	XT17-b2
1HV32	A17-TQ13S06	XT18-b1	XT18-b2
1HV32	A17-TQ13S07	XT19-b1	XT19-b2
1HV32	A17-TQ13S09	XT21-b1	XT21-b2
1HV32	A17-TQ13S26	XT37-b1	XT37-b2
1HV32	A17-TQ13S30	XT38-b1	XT38-b2
1HV32	A17-TQ14S03	XT23-b1	XT23-b2
1HV32	A17-TQ14S04	XT24-b1	XT24-b2
1HV32	A17-TQ14S07	XT45-b1	XT45-b2
