Откуда идет	Куда поступает
XB098:A	XK2-001.XT1:1
XB098:B	XK2-001.XT1:3
XB098:C	XK2-001.XT1:5
XB098:E	XK2-001.XT1:9
XB098:F	XK2-001.XT1:11
XB098:G	XK2-001.XT1:13
XB099:A	XK2-001.XT1:17
XB099:B	XK2-001.XT1:19
XB099:C	XK2-002.XT1:9
XB099:E	XK2-002.XT1:13
XB099:F	XK2-002.XT1:15
XB099:G	XK2-002.XT1:17
XB101:A	XK2-002.XT1:1
XB101:B	XK2-002.XT1:3
XB101:C	XK2-002.XT1:5
XB101:D	XK4-001.XT1:1
XB101:E	XK4-001.XT1:5
XB102:A	XK4-001.XT1:9
XB102:B	XK4-001.XT1:11
XB102:C	XK4-001.XT1:13
XB102:D	XK4-001.XT1:17
XB102:E	XK4-002.XT1:1
XB103:A	XK4-002.XT1:5
XB103:B	XK4-002.XT1:7
XB103:C	XK4-002.XT1:9
XB103:D	XK4-002.XT1:13
XB103:E	XK4-002.XT1:17
XB104:A	XK6-001.XT1:1
XB104:B	XK6-001.XT1:3
XB104:C	XK6-001.XT1:5
XB104:D	XK6-001.XT1:9
XB104:E	XK6-001.XT1:13
XB105:A	XK6-001.XT1:17
XB105:B	XK6-001.XT1:19
XB105:C	XK6-002.XT1:9
XB105:D	XK6-002.XT1:13
XB105:E	XK6-002.XT1:17
XB116:A	XL3-021.XT1:1
XB116:B	XL3-022.XT1:3
XB116:C	XL3-021.XT1:3
XB116:E	XL3-023.XT1:1
XB116:F	XL3-024.XT1:3
XB116:G	XL3-023.XT1:3
XB117:A	XL3-025.XT1:1
XB117:B	XL3-026.XT1:3
XB117:C	XL3-025.XT1:3
XB117:E	XL4-001.XT1:1
XB117:F	XL4-002.XT1:3
XB117:G	XL4-001.XT1:3
XB118:A	XL4-003.XT1:1
XB118:B	XL4-004.XT1:3
XB118:C	XL4-003.XT1:3
XB121:A	XK6-002.XT1:1
XB121:B	XK6-002.XT1:5
XB121:C	XK6-002.XT1:3
XB121:E	XK8-001.XT1:1
XB121:F	XK8-001.XT1:5
XB121:G	XK8-001.XT1:3
XB122:A	XK8-001.XT1:9
XB122:B	XK8-001.XT1:13
XB122:C	XK8-001.XT1:11
XB122:E	XK8-002.XT1:1
XB122:F	XK8-001.XT1:17
XB122:G	XK8-002.XT1:3
XB123:A	XK8-002.XT1:5
XB123:B	XK8-002.XT1:9
XB123:C	XK8-002.XT1:7
XB139:A	XL4-006.XT1:1
XB139:B	XL4-006.XT1:3
XB139:C	XL4-005.XT1:3
XB139:E	XL4-008.XT1:1
XB139:F	XL4-008.XT1:3
XB139:G	XL4-007.XT1:3
XB140:A	XL4-010.XT1:1
XB140:B	XL4-010.XT1:3
XB140:C	XL4-009.XT1:3
XB140:E	XL4-012.XT1:1
XB140:F	XL4-012.XT1:3
XB140:G	XL4-011.XT1:3
XB141:A	XL4-014.XT1:1
XB141:B	XL4-014.XT1:3
XB141:C	XL4-013.XT1:3
XB143:A	XA143:A
XB143:B	XA143:B
XB143:C	XA143:C
XB143:E	XA143:E
XB143:F	XA143:F
XB143:G	XA143:G
XB144:A	XA144:A
XB144:B	XA144:B
XB144:C	XA144:C
XB144:E	XA144:E
XB144:F	XA144:F
XB144:G	XA144:G
XB145:A	XA145:A
XB145:B	XA145:B
XB145:C	XA145:C
XB145:E	XA145:E
XB145:F	XA145:F
XB145:G	XA145:G
XB146:A	XA146:A
XB146:B	XA146:B
XB146:C	XA146:C
XB146:E	XA146:E
XB146:F	XA146:F
XB146:G	XA146:G
XB147:A	XA147:A
XB147:B	XA147:B
XB147:C	XA147:C
XB147:E	XA147:E
XB147:F	XA147:F
XB147:G	XA147:G
XB148:A	XA148:A
XB148:B	XA148:B
XB148:C	XA148:C
XB161:A	XA161:A
XB161:B	XA161:B
XK1-001.XT2:4	XK1-002.XT2:4
XK1-003.XT2:4	XK1-004.XT2:4
XK1-005.XT2:4	XK1-006.XT2:4
XK1-007.XT2:4	XK1-008.XT2:4
XK1-009.XT2:4	XK1-010.XT2:4
XK1-010.XT2:4	XK3-001.XT2:4
XK2-001.XT1:11	XK2-001.XT1:15
XK2-001.XT1:19	XK2-002.XT1:11
XK2-001.XT1:3	XK2-001.XT1:7
XK2-001.XT2:10	XK1-003.XT1:1
XK2-001.XT2:12	XK1-003.XT1:2
XK2-001.XT2:14	XK1-004.XT1:1
XK2-001.XT2:16	XK1-004.XT1:2
XK2-001.XT2:18	XK1-005.XT1:1
XK2-001.XT2:2	XK1-001.XT1:1
XK2-001.XT2:20	XK1-005.XT1:2
XK2-001.XT2:4	XK1-001.XT1:2
XK2-001.XT2:6	XK1-002.XT1:1
XK2-001.XT2:8	XK1-002.XT1:2
XK2-002.XT1:1	XL3-021.XT1:1
XK2-002.XT1:15	XK2-002.XT1:19
XK2-002.XT1:3	XK2-002.XT1:7
XK2-002.XT1:5	XL3-022.XT1:1
XK2-002.XT1:7	XK4-001.XT1:3
XK2-002.XT2:10	XK1-006.XT1:1
XK2-002.XT2:12	XK1-006.XT1:2
XK2-002.XT2:14	XK1-007.XT1:1
XK2-002.XT2:16	XK1-007.XT1:2
XK2-002.XT2:18	XK1-008.XT1:1
XK2-002.XT2:2	XK1-009.XT1:1
XK2-002.XT2:20	XK1-008.XT1:2
XK2-002.XT2:4	XK1-009.XT1:2
XK2-002.XT2:6	XK1-010.XT1:1
XK2-002.XT2:8	XK1-010.XT1:2
XK3-001.XT2:4	XK3-002.XT2:4
XK3-003.XT2:4	XK3-004.XT2:4
XK3-004.XT2:4	XK3-005.XT2:4
XK3-005.XT2:4	XK3-006.XT2:4
XK3-007.XT2:4	XK3-008.XT2:4
XK3-008.XT2:4	XK3-009.XT2:4
XK3-009.XT2:4	XK3-010.XT2:4
XK4-001.XT1:11	XK4-001.XT1:15
XK4-001.XT1:13	XL3-024.XT1:1
XK4-001.XT1:15	XK4-001.XT1:19
XK4-001.XT1:7	XK4-001.XT1:3
XK4-001.XT1:9	XL3-023.XT1:1
XK4-001.XT2:10	XK3-003.XT1:1
XK4-001.XT2:12	XK3-003.XT1:2
XK4-001.XT2:14	XK3-004.XT1:1
XK4-001.XT2:16	XK3-004.XT1:2
XK4-001.XT2:18	XK3-005.XT1:1
XK4-001.XT2:2	XK3-001.XT1:1
XK4-001.XT2:20	XK3-005.XT1:2
XK4-001.XT2:4	XK3-001.XT1:2
XK4-001.XT2:6	XK3-002.XT1:1
XK4-001.XT2:8	XK3-002.XT1:2
XK4-002.XT1:11	XK4-002.XT1:15
XK4-002.XT1:19	XK4-002.XT1:15
XK4-002.XT1:3	XK4-001.XT1:19
XK4-002.XT1:5	XL3-025.XT1:1
XK4-002.XT1:7	XK4-002.XT1:11
XK4-002.XT1:9	XL3-026.XT1:1
XK4-002.XT2:10	XK3-008.XT1:1
XK4-002.XT2:12	XK3-008.XT1:2
XK4-002.XT2:14	XK3-009.XT1:1
XK4-002.XT2:16	XK3-009.XT1:2
XK4-002.XT2:18	XK3-010.XT1:1
XK4-002.XT2:2	XK3-006.XT1:1
XK4-002.XT2:20	XK3-010.XT1:2
XK4-002.XT2:4	XK3-006.XT1:2
XK4-002.XT2:6	XK3-007.XT1:1
XK4-002.XT2:8	XK3-007.XT1:2
XK5-001.XT2:4	XK5-002.XT2:4
XK5-002.XT2:4	XK5-003.XT2:4
XK5-003.XT2:4	XK5-004.XT2:4
XK5-005.XT2:4	XK5-006.XT2:4
XK5-006.XT2:4	XK5-007.XT2:4
XK5-007.XT2:4	XK5-008.XT2:4
XK5-009.XT2:4	XK5-010.XT2:4
XK6-001.XT1:1	XL4-001.XT1:1
XK6-001.XT1:15	XK6-001.XT1:11
XK6-001.XT1:17	XL4-003.XT1:1
XK6-001.XT1:19	XK6-002.XT1:11
XK6-001.XT1:3	XK6-001.XT1:7
XK6-001.XT1:5	XL4-002.XT1:1
XK6-001.XT1:7	XK6-001.XT1:11
XK6-001.XT2:10	XK5-003.XT1:1
XK6-001.XT2:12	XK5-003.XT1:2
XK6-001.XT2:14	XK5-004.XT1:1
XK6-001.XT2:16	XK5-004.XT1:2
XK6-001.XT2:18	XK5-005.XT1:1
XK6-001.XT2:2	XK5-001.XT1:1
XK6-001.XT2:20	XK5-005.XT1:2
XK6-001.XT2:4	XK5-001.XT1:2
XK6-001.XT2:6	XK5-002.XT1:1
XK6-001.XT2:8	XK5-002.XT1:2
XK6-002.XT1:11	XK6-002.XT1:15
XK6-002.XT1:19	XK6-002.XT1:15
XK6-002.XT1:3	XK6-002.XT1:2
XK6-002.XT1:9	XL4-004.XT1:1
XK6-002.XT2:10	XK5-006.XT1:1
XK6-002.XT2:12	XK5-006.XT1:2
XK6-002.XT2:14	XK5-007.XT1:1
XK6-002.XT2:16	XK5-007.XT1:2
XK6-002.XT2:18	XK5-008.XT1:1
XK6-002.XT2:2	XK5-009.XT1:1
XK6-002.XT2:20	XK5-008.XT1:2
XK6-002.XT2:4	XK5-009.XT1:2
XK6-002.XT2:6	XK5-010.XT1:1
XK6-002.XT2:8	XK5-010.XT1:2
XK7-001.XT2:4	XK7-002.XT2:4
XK7-003.XT2:4	XK7-004.XT2:4
XK7-005.XT2:4	XK7-006.XT2:4
XK7-007.XT2:4	XK7-008.XT2:4
XK8-001.XT1:11	XK8-001.XT1:15
XK8-001.XT1:3	XK8-001.XT1:7
XK8-001.XT2:10	XK7-003.XT1:1
XK8-001.XT2:12	XK7-003.XT1:2
XK8-001.XT2:14	XK7-004.XT1:1
XK8-001.XT2:16	XK7-004.XT1:2
XK8-001.XT2:18	XK7-006.XT1:1
XK8-001.XT2:2	XK7-001.XT1:1
XK8-001.XT2:20	XK7-006.XT1:2
XK8-001.XT2:4	XK7-001.XT1:2
XK8-001.XT2:6	XK7-002.XT1:1
XK8-001.XT2:8	XK7-002.XT1:2
XK8-002.XT1:3	XK8-001.XT1:19
XK8-002.XT1:7	XK8-002.XT1:11
XK8-002.XT2:10	XK7-008.XT1:1
XK8-002.XT2:12	XK7-008.XT1:2
XK8-002.XT2:2	XK7-005.XT1:1
XK8-002.XT2:4	XK7-005.XT1:2
XK8-002.XT2:6	XK7-007.XT1:1
XK8-002.XT2:8	XK7-007.XT1:2
XL1-001.XT2:4	XL1-002.XT2:4
XL1-003.XT2:4	XL1-004.XT2:4
XL1-005.XT2:4	XL1-006.XT2:4
XL1-007.XT2:4	XL1-008.XT2:4
XL1-009.XT2:4	XL1-010.XT2:4
XL2-001.XT1:11	XL2-001.XT1:15
XL2-001.XT1:19	XL2-002.XT1:3
XL2-001.XT1:3	XL2-001.XT1:7
XL2-001.XT2:10	XL1-003.XT1:1
XL2-001.XT2:12	XL1-003.XT1:2
XL2-001.XT2:14	XL1-004.XT1:1
XL2-001.XT2:16	XL1-004.XT1:2
XL2-001.XT2:18	XL1-005.XT1:1
XL2-001.XT2:2	XL1-001.XT1:1
XL2-001.XT2:20	XL1-005.XT1:2
XL2-001.XT2:4	XL1-001.XT1:2
XL2-001.XT2:6	XL1-002.XT1:1
XL2-001.XT2:8	XL1-002.XT1:2
XL2-002.XT1:15	XL2-002.XT1:19
XL2-002.XT1:7	XL2-002.XT1:11
XL2-002.XT2:10	XL1-008.XT1:1
XL2-002.XT2:12	XL1-008.XT1:2
XL2-002.XT2:14	XL1-009.XT1:1
XL2-002.XT2:16	XL1-009.XT1:2
XL2-002.XT2:18	XL1-010.XT1:1
XL2-002.XT2:2	XL1-006.XT1:1
XL2-002.XT2:20	XL1-010.XT1:2
XL2-002.XT2:4	XL1-006.XT1:2
XL2-002.XT2:6	XL1-007.XT1:1
XL2-002.XT2:8	XL1-007.XT1:2
XL3-002.XT1:1	XL3-001.XT1:1
XL3-002.XT2:5	XL3-001.XT2:5
XL3-004.XT1:1	XL3-003.XT1:1
XL3-004.XT2:5	XL3-003.XT2:5
XL3-006.XT2:5	XL3-005.XT2:5
XL3-008.XT2:5	XL3-007.XT2:5
XL3-010.XT2:5	XL3-009.XT2:5
XL3-012.XT2:5	XL3-011.XT2:5
XL3-014.XT2:5	XL3-013.XT2:5
XL3-016.XT2:5	XL3-015.XT2:5
XL3-018.XT2:5	XL3-017.XT2:5
XL3-020.XT2:5	XL3-019.XT2:5
XL3-022.XT2:5	XL3-021.XT2:5
XL3-024.XT2:5	XL3-023.XT2:5
XL3-026.XT2:5	XL3-025.XT2:5
XL4-002.XT2:5	XL4-001.XT2:5
XL4-004.XT2:5	XL4-003.XT2:5
XL4-006.XT1:1	XL4-005.XT1:1
XL4-006.XT2:5	XL4-005.XT2:5
XL4-008.XT1:1	XL4-007.XT1:1
XL4-008.XT2:5	XL4-007.XT2:5
XL4-010.XT1:1	XL4-009.XT1:1
XL4-010.XT2:5	XL4-009.XT2:5
XL4-012.XT1:1	XL4-011.XT1:1
XL4-012.XT2:5	XL4-011.XT2:5
XL4-014.XT1:1	XL4-013.XT1:1
XL4-014.XT2:5	XL4-013.XT2:5
XM1-001.XT2:4	XM1-002.XT2:4
XM1-003.XT2:4	XM1-004.XT2:4
XM1-005.XT2:4	XM1-006.XT2:4
XM1-006.XT2:4	XM1-007.XT2:4
XM1-007.XT2:4	XM1-008.XT2:4
XM1-009.XT2:4	XM1-010.XT2:4
XM1-010.XT2:4	XM3-001.XT2:4
XM2-001.XT1:1	XL3-005.XT1:1
XM2-001.XT1:15	XM2-001.XT1:19
XM2-001.XT1:3	XM2-002.XT1:3
XM2-001.XT1:7	XM2-001.XT1:11
XM2-001.XT2:10	XM1-002.XT1:1
XM2-001.XT2:12	XM1-002.XT1:2
XM2-001.XT2:14	XM1-003.XT1:1
XM2-001.XT2:16	XM1-003.XT1:2
XM2-001.XT2:18	XM1-004.XT1:1
XM2-001.XT2:2	XM1-005.XT1:1
XM2-001.XT2:20	XM1-004.XT1:2
XM2-001.XT2:4	XM1-005.XT1:2
XM2-001.XT2:6	XM1-001.XT1:1
XM2-001.XT2:8	XM1-001.XT1:2
XM2-002.XT1:1	XL3-006.XT1:1
XM2-002.XT1:11	XM2-002.XT1:7
XM2-002.XT1:13	XL3-007.XT1:1
XM2-002.XT1:15	XM2-002.XT1:19
XM2-002.XT1:17	XL3-008.XT1:1
XM2-002.XT1:19	XM4-001.XT1:3
XM2-002.XT1:3	XM2-002.XT1:7
XM2-002.XT2:10	XM1-008.XT1:1
XM2-002.XT2:12	XM1-008.XT1:2
XM2-002.XT2:14	XM1-009.XT1:1
XM2-002.XT2:16	XM1-009.XT1:2
XM2-002.XT2:18	XM1-010.XT1:1
XM2-002.XT2:2	XM1-006.XT1:1
XM2-002.XT2:20	XM1-010.XT1:2
XM2-002.XT2:4	XM1-006.XT1:2
XM2-002.XT2:6	XM1-007.XT1:1
XM2-002.XT2:8	XM1-007.XT1:2
XM3-001.XT2:4	XM3-002.XT2:4
XM3-003.XT2:4	XM3-004.XT2:4
XM3-004.XT2:4	XM3-005.XT2:4
XM3-005.XT2:4	XM3-006.XT2:4
XM3-007.XT2:4	XM3-008.XT2:4
XM3-008.XT2:4	XM3-009.XT2:4
XM3-009.XT2:4	XM3-010.XT2:4
XM4-001.XT1:11	XM4-001.XT1:15
XM4-001.XT1:13	XL3-010.XT1:1
XM4-001.XT1:15	XM4-001.XT1:19
XM4-001.XT1:7	XM4-001.XT1:3
XM4-001.XT1:9	XL3-009.XT1:1
XM4-001.XT2:10	XM3-003.XT1:1
XM4-001.XT2:12	XM3-003.XT1:2
XM4-001.XT2:14	XM3-004.XT1:1
XM4-001.XT2:16	XM3-004.XT1:2
XM4-001.XT2:18	XM3-005.XT1:1
XM4-001.XT2:2	XM3-001.XT1:1
XM4-001.XT2:20	XM3-005.XT1:2
XM4-001.XT2:4	XM3-001.XT1:2
XM4-001.XT2:6	XM3-002.XT1:1
XM4-001.XT2:8	XM3-002.XT1:2
XM4-002.XT1:11	XM4-002.XT1:15
XM4-002.XT1:19	XM4-002.XT1:15
XM4-002.XT1:3	XM4-001.XT1:19
XM4-002.XT1:5	XL3-011.XT1:1
XM4-002.XT1:7	XM4-002.XT1:11
XM4-002.XT1:9	XL3-012.XT1:1
XM4-002.XT2:10	XM3-008.XT1:1
XM4-002.XT2:12	XM3-008.XT1:2
XM4-002.XT2:14	XM3-009.XT1:1
XM4-002.XT2:16	XM3-009.XT1:2
XM4-002.XT2:18	XM3-010.XT1:1
XM4-002.XT2:2	XM3-006.XT1:1
XM4-002.XT2:20	XM3-010.XT1:2
XM4-002.XT2:4	XM3-006.XT1:2
XM4-002.XT2:6	XM3-007.XT1:1
XM4-002.XT2:8	XM3-007.XT1:2
XM5-001.XT2:4	XM5-002.XT2:4
XM5-002.XT2:4	XM5-003.XT2:4
XM5-003.XT2:4	XM5-004.XT2:4
